game_id,split
1,test
2,train
3,train
4,train
5,train
6,train
7,train
9,test
10,train
11,train
12,train
18,train
19,train
20,test
31,train
32,train
33,test
34,train
35,train
36,train
37,train
38,train
40,train
41,train
42,train
43,train
46,train
47,train
48,train
49,train
50,train
51,train
52,train
53,test
55,train
57,train
58,train
59,train
60,test
61,train
62,train
63,train
64,train
65,train
66,train
68,train
69,train
70,train
71,train
73,train
74,train
75,train
77,train
78,train
79,test
80,train
82,test
83,train
84,train
85,train
86,train
87,train
88,train
89,train
90,train
91,test
93,test
94,train
95,train
96,train
97,train
98,train
99,train
102,test
103,train
106,train
107,train
115,train
118,train
119,train
120,test
121,train
122,train
123,train
124,train
125,test
126,train
127,train
129,train
130,train
131,train
132,train
133,test
134,train
135,test
136,test
137,train
138,train
139,train
140,train
141,train
142,test
143,train
144,train
145,train
146,train
147,train
148,train
149,test
150,train
151,test
152,train
153,train
154,train
155,train
156,train
158,train
159,train
162,train
163,train
164,train
165,test
166,train
167,train
168,train
169,test
171,test
172,test
173,train
176,train
177,train
178,train
179,test
180,train
181,train
182,train
193,train
194,train
195,train
196,train
197,train
198,test
199,train
200,train
201,train
202,train
203,train
204,test
205,train
206,train
207,train
208,test
209,test
210,train
211,train
212,train
213,train
214,train
215,train
216,test
218,train
219,test
220,train
221,train
222,train
223,test
224,train
225,train
226,test
227,train
228,train
229,test
230,test
231,test
232,test
233,train
234,train
235,test
238,test
239,train
240,train
242,train
243,test
244,train
245,train
246,train
247,train
248,test
249,train
250,train
251,train
252,train
253,train
254,train
255,test
256,train
257,train
258,train
259,train
260,test
261,train
262,train
264,train
265,train
266,train
267,train
268,test
273,train
274,train
275,train
276,test
277,train
278,train
279,train
280,test
281,train
282,train
284,train
285,train
286,test
287,train
288,test
289,train
290,test
291,train
292,train
293,train
294,train
295,train
297,test
300,train
302,train
303,train
304,train
315,train
316,train
317,train
318,train
319,train
321,train
322,train
323,test
324,test
326,train
327,train
328,train
329,test
330,train
331,train
332,train
333,test
334,test
336,train
337,train
339,train
340,test
341,train
342,train
343,train
344,train
345,train
346,train
349,train
350,test
351,train
352,train
353,train
354,train
355,test
358,train
359,train
360,train
361,test
362,train
363,test
364,train
365,train
366,train
367,train
368,test
370,test
371,train
372,test
373,test
374,test
377,test
378,train
379,train
380,train
381,test
382,train
383,train
384,train
387,train
388,train
389,test
390,train
391,train
392,train
393,test
394,train
395,train
396,train
397,train
398,train
399,train
400,train
401,train
402,test
403,test
404,train
405,train
406,train
407,train
408,train
410,train
411,test
416,test
417,test
419,train
421,test
423,test
428,train
429,train
431,train
432,train
433,train
434,train
435,test
436,test
437,test
438,train
439,train
440,train
443,train
444,train
446,train
447,train
448,train
450,train
451,train
452,train
453,train
454,train
455,train
456,train
457,test
458,train
459,train
460,train
461,train
462,test
463,train
464,train
465,test
466,train
467,test
468,train
469,train
470,train
471,train
472,train
473,train
474,train
475,train
476,train
478,train
479,train
480,test
481,train
482,test
483,test
484,train
485,train
486,train
487,test
491,train
492,train
497,test
498,train
499,train
500,train
501,train
502,train
503,train
504,train
505,train
508,train
509,test
510,train
511,train
512,test
513,test
514,train
515,train
516,train
517,train
518,train
519,train
520,train
521,train
522,train
523,train
524,train
525,test
526,train
527,test
528,train
529,train
530,train
531,test
533,train
534,train
535,train
536,train
537,train
538,test
539,train
540,train
542,train
543,train
544,train
548,test
549,train
550,train
551,test
552,train
553,train
554,train
555,train
556,train
557,train
558,test
559,test
560,train
561,train
562,train
564,train
565,train
566,train
567,train
568,test
569,test
570,train
571,test
572,train
573,train
589,test
590,train
591,test
592,train
593,train
594,train
595,train
596,train
597,train
599,train
601,train
603,test
604,train
605,train
606,train
607,train
608,train
609,train
611,train
612,train
614,train
615,train
616,train
617,train
622,train
623,train
624,train
626,train
627,train
629,train
630,test
631,train
632,train
633,train
635,train
636,train
637,train
638,train
639,train
640,train
641,train
642,train
643,train
658,train
659,train
662,train
663,train
664,train
666,train
667,train
668,train
669,train
670,train
671,train
673,train
674,train
675,train
676,train
677,test
693,train
694,train
695,train
696,train
697,train
705,train
706,train
707,test
708,train
709,train
711,train
712,train
713,train
716,train
717,train
718,train
719,test
720,test
721,train
723,train
724,train
725,train
726,train
727,train
728,train
729,train
730,test
732,train
734,train
735,train
736,train
740,train
741,train
742,test
743,train
744,test
745,train
748,train
750,train
751,test
752,train
753,train
754,train
755,train
756,train
757,test
758,train
759,train
760,train
761,train
762,test
763,train
765,train
766,train
767,train
768,train
769,test
770,train
771,train
775,train
776,test
779,test
780,train
781,train
782,train
783,train
784,train
786,train
788,test
789,train
790,train
791,test
792,train
793,train
795,train
796,train
797,train
798,train
799,train
800,train
801,test
802,train
803,train
804,train
806,train
807,train
808,train
809,test
810,train
811,train
812,train
813,train
814,train
826,test
827,train
829,train
830,train
832,test
834,train
835,train
836,train
837,train
838,train
839,train
