soc_code,official_soc_title,cip_code,cip_title
11-1011,Chief Executives,44.0401,Public Administration.
11-1011,Chief Executives,52.0101,"Business/Commerce, General."
11-1011,Chief Executives,52.0201,"Business Administration and Management, General."
11-1011,Chief Executives,52.0206,Non-Profit/Public/Organizational Management.
11-1011,Chief Executives,52.0701,Entrepreneurship/Entrepreneurial Studies.
11-1011,Chief Executives,52.0704,Social Entrepreneurship.
11-1011,Chief Executives,52.0801,"Finance, General."
11-1011,Chief Executives,52.1101,International Business/Trade/Commerce.
11-1011,Chief Executives,52.1301,Management Science.
11-1021,General and Operations Managers,01.8202,Veterinary Office Management/Administration.
11-1021,General and Operations Managers,31.0301,"Parks, Recreation, and Leisure Facilities Management, General."
11-1021,General and Operations Managers,31.0399,"Parks, Recreation, and Leisure Facilities Management, Other."
11-1021,General and Operations Managers,44.0401,Public Administration.
11-1021,General and Operations Managers,52.0101,"Business/Commerce, General."
11-1021,General and Operations Managers,52.0201,"Business Administration and Management, General."
11-1021,General and Operations Managers,52.0206,Non-Profit/Public/Organizational Management.
11-1021,General and Operations Managers,52.0212,Retail Management.
11-1021,General and Operations Managers,52.0215,Risk Management.
11-1021,General and Operations Managers,52.0701,Entrepreneurship/Entrepreneurial Studies.
11-1021,General and Operations Managers,52.0704,Social Entrepreneurship.
11-1021,General and Operations Managers,52.0801,"Finance, General."
11-1021,General and Operations Managers,52.0810,Financial Risk Management.
11-1021,General and Operations Managers,52.1101,International Business/Trade/Commerce.
11-1021,General and Operations Managers,52.1301,Management Science.
11-1031,Legislators,44.0401,Public Administration.
11-1031,Legislators,44.0501,"Public Policy Analysis, General."
11-2011,Advertising and Promotions Managers,09.0900,"Public Relations, Advertising, and Applied Communication."
11-2011,Advertising and Promotions Managers,09.0902,Public Relations/Image Management.
11-2011,Advertising and Promotions Managers,09.0903,Advertising.
11-2011,Advertising and Promotions Managers,52.1401,"Marketing/Marketing Management, General."
11-2021,Marketing Managers,19.0203,Consumer Merchandising/Retailing Management.
11-2021,Marketing Managers,19.0905,Apparel and Textile Marketing Management.
11-2021,Marketing Managers,51.2011,Pharmaceutical Marketing and Management.
11-2021,Marketing Managers,52.1401,"Marketing/Marketing Management, General."
11-2021,Marketing Managers,52.1402,Marketing Research.
11-2021,Marketing Managers,52.1403,International Marketing.
11-2021,Marketing Managers,52.1404,Digital Marketing.
11-2021,Marketing Managers,52.1499,"Marketing, Other."
11-2021,Marketing Managers,52.1910,Hospitality and Recreation Marketing Operations.
11-2022,Sales Managers,19.0203,Consumer Merchandising/Retailing Management.
11-2022,Sales Managers,51.2011,Pharmaceutical Marketing and Management.
11-2022,Sales Managers,52.0101,"Business/Commerce, General."
11-2022,Sales Managers,52.0201,"Business Administration and Management, General."
11-2022,Sales Managers,52.1401,"Marketing/Marketing Management, General."
11-2032,Public Relations Managers,09.0100,"Communication, General."
11-2032,Public Relations Managers,09.0101,Speech Communication and Rhetoric.
11-2032,Public Relations Managers,09.0102,Mass Communication/Media Studies.
11-2032,Public Relations Managers,09.0900,"Public Relations, Advertising, and Applied Communication."
11-2032,Public Relations Managers,09.0902,Public Relations/Image Management.
11-2032,Public Relations Managers,09.0904,Political Communication.
11-2032,Public Relations Managers,09.0907,International and Intercultural Communication.
11-2032,Public Relations Managers,09.0909,Communication Management and Strategic Communications.
11-2032,Public Relations Managers,52.0501,"Business/Corporate Communications, General."
11-2032,Public Relations Managers,52.0599,"Business/Corporate Communications, Other."
11-2033,Fundraising Managers,09.0100,"Communication, General."
11-2033,Fundraising Managers,09.0900,"Public Relations, Advertising, and Applied Communication."
11-2033,Fundraising Managers,09.0902,Public Relations/Image Management.
11-2033,Fundraising Managers,09.0909,Communication Management and Strategic Communications.
11-2033,Fundraising Managers,52.0206,Non-Profit/Public/Organizational Management.
11-2033,Fundraising Managers,52.0213,Organizational Leadership.
11-2033,Fundraising Managers,52.0502,Grantsmanship.
11-2033,Fundraising Managers,52.1401,"Marketing/Marketing Management, General."
11-3012,Administrative Services Managers,01.8202,Veterinary Office Management/Administration.
11-3012,Administrative Services Managers,51.0711,Medical/Health Management and Clinical Assistant/Specialist.
11-3012,Administrative Services Managers,52.0101,"Business/Commerce, General."
11-3012,Administrative Services Managers,52.0201,"Business Administration and Management, General."
11-3012,Administrative Services Managers,52.0202,"Purchasing, Procurement/Acquisitions and Contracts Management."
11-3012,Administrative Services Managers,52.0204,Office Management and Supervision.
11-3012,Administrative Services Managers,52.0207,Customer Service Management.
11-3013,Facilities Managers,15.1501,Engineering/Industrial Management.
11-3013,Facilities Managers,19.0604,Facilities Planning and Management.
11-3013,Facilities Managers,30.1201,"Historic Preservation and Conservation, General."
11-3013,Facilities Managers,30.1299,"Historic Preservation and Conservation, Other."
11-3013,Facilities Managers,31.0301,"Parks, Recreation, and Leisure Facilities Management, General."
11-3013,Facilities Managers,46.0401,Building/Property Maintenance.
11-3013,Facilities Managers,46.0412,Building/Construction Site Management/Manager.
11-3013,Facilities Managers,51.0702,Hospital and Health Care Facilities Administration/Management.
11-3013,Facilities Managers,52.0101,"Business/Commerce, General."
11-3013,Facilities Managers,52.0201,"Business Administration and Management, General."
11-3013,Facilities Managers,52.0202,"Purchasing, Procurement/Acquisitions and Contracts Management."
11-3013,Facilities Managers,52.0205,Operations Management and Supervision.
11-3013,Facilities Managers,52.0904,Hotel/Motel Administration/Management.
11-3031,Financial Managers,30.1601,Accounting and Computer Science.
11-3031,Financial Managers,30.7104,Financial Analytics.
11-3031,Financial Managers,52.0215,Risk Management.
11-3031,Financial Managers,52.0304,Accounting and Finance.
11-3031,Financial Managers,52.0305,Accounting and Business/Management.
11-3031,Financial Managers,52.0801,"Finance, General."
11-3031,Financial Managers,52.0806,International Finance.
11-3031,Financial Managers,52.0808,Public Finance.
11-3031,Financial Managers,52.0809,Credit Management.
11-3031,Financial Managers,52.0810,Financial Risk Management.
11-3031,Financial Managers,52.0899,"Finance and Financial Management Services, Other."
11-3061,Purchasing Managers,52.0202,"Purchasing, Procurement/Acquisitions and Contracts Management."
11-3071,"Transportation, Storage, and Distribution Managers",44.0401,Public Administration.
11-3071,"Transportation, Storage, and Distribution Managers",44.0403,Transportation and Infrastructure Planning/Studies.
11-3071,"Transportation, Storage, and Distribution Managers",49.0101,"Aeronautics/Aviation/Aerospace Science and Technology, General."
11-3071,"Transportation, Storage, and Distribution Managers",49.0104,Aviation/Airway Management and Operations.
11-3071,"Transportation, Storage, and Distribution Managers",52.0101,"Business/Commerce, General."
11-3071,"Transportation, Storage, and Distribution Managers",52.0201,"Business Administration and Management, General."
11-3071,"Transportation, Storage, and Distribution Managers",52.0203,"Logistics, Materials, and Supply Chain Management."
11-3071,"Transportation, Storage, and Distribution Managers",52.0209,Transportation/Mobility Management.
11-3111,Compensation and Benefits Managers,52.0201,"Business Administration and Management, General."
11-3111,Compensation and Benefits Managers,52.1001,"Human Resources Management/Personnel Administration, General."
11-3111,Compensation and Benefits Managers,52.1002,Labor and Industrial Relations.
11-3111,Compensation and Benefits Managers,52.1003,Organizational Behavior Studies.
11-3111,Compensation and Benefits Managers,52.1701,Insurance.
11-3121,Human Resources Managers,09.0901,"Organizational Communication, General."
11-3121,Human Resources Managers,42.2804,Industrial and Organizational Psychology.
11-3121,Human Resources Managers,52.0201,"Business Administration and Management, General."
11-3121,Human Resources Managers,52.0213,Organizational Leadership.
11-3121,Human Resources Managers,52.1001,"Human Resources Management/Personnel Administration, General."
11-3121,Human Resources Managers,52.1002,Labor and Industrial Relations.
11-3121,Human Resources Managers,52.1003,Organizational Behavior Studies.
11-3121,Human Resources Managers,52.1004,Labor Studies.
11-3121,Human Resources Managers,52.1006,Executive/Career Coaching.
11-3131,Training and Development Managers,09.0901,"Organizational Communication, General."
11-3131,Training and Development Managers,13.0403,Adult and Continuing Education Administration.
11-3131,Training and Development Managers,13.0607,Learning Sciences.
11-3131,Training and Development Managers,42.2804,Industrial and Organizational Psychology.
11-3131,Training and Development Managers,52.0201,"Business Administration and Management, General."
11-3131,Training and Development Managers,52.0213,Organizational Leadership.
11-3131,Training and Development Managers,52.1001,"Human Resources Management/Personnel Administration, General."
11-3131,Training and Development Managers,52.1003,Organizational Behavior Studies.
11-3131,Training and Development Managers,52.1006,Executive/Career Coaching.
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.0101,"Agricultural Business and Management, General."
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.0102,Agribusiness/Agricultural Business Operations.
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.0104,Farm/Farm and Ranch Management.
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.0199,"Agricultural Business and Management, Other."
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.0301,"Agricultural Production Operations, General."
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.0302,Animal/Livestock Husbandry and Production.
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.0303,Aquaculture.
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.0304,Crop Production.
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.0306,Dairy Husbandry and Production.
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.0307,Horse Husbandry/Equine Science and Management.
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.0308,Agroecology and Sustainable Agriculture.
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.0310,Apiculture.
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.0399,"Agricultural Production Operations, Other."
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.0601,"Applied Horticulture/Horticulture Operations, General."
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.0603,Ornamental Horticulture.
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.0604,Greenhouse Operations and Management.
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.0606,Plant Nursery Operations and Management.
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.0609,Public Horticulture.
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.0610,Urban and Community Horticulture.
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.0901,"Animal Sciences, General."
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.0902,Agricultural Animal Breeding.
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.0903,Animal Health.
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.0904,Animal Nutrition.
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.0905,Dairy Science.
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.0906,Livestock Management.
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.0907,Poultry Science.
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.0999,"Animal Sciences, Other."
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.1004,Viticulture and Enology.
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.1101,"Plant Sciences, General."
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.1102,Agronomy and Crop Science.
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.1103,Horticultural Science.
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.1105,Plant Protection and Integrated Pest Management.
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",01.1106,Range Science and Management.
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",30.3401,Anthrozoology.
11-9021,Construction Managers,15.1001,Construction Engineering Technology/Technician.
11-9021,Construction Managers,44.0402,Public Works Management.
11-9021,Construction Managers,52.0101,"Business/Commerce, General."
11-9021,Construction Managers,52.0201,"Business Administration and Management, General."
11-9021,Construction Managers,52.0205,Operations Management and Supervision.
11-9021,Construction Managers,52.2001,"Construction Management, General."
11-9021,Construction Managers,52.2002,Construction Project Management.
11-9021,Construction Managers,52.2099,"Construction Management, Other."
11-9039,"Education Administrators, All Other",13.0401,"Educational Leadership and Administration, General."
11-9039,"Education Administrators, All Other",13.0402,Administration of Special Education.
11-9039,"Education Administrators, All Other",13.0403,Adult and Continuing Education Administration.
11-9039,"Education Administrators, All Other",13.0404,"Educational, Instructional, and Curriculum Supervision."
11-9039,"Education Administrators, All Other",13.0406,Higher Education/Higher Education Administration.
11-9039,"Education Administrators, All Other",13.0410,Urban Education and Leadership.
11-9039,"Education Administrators, All Other",13.0411,Superintendency and Educational System Administration.
11-9039,"Education Administrators, All Other",13.0412,International School Administration/Leadership.
11-9039,"Education Administrators, All Other",13.0413,Education Entrepreneurship.
11-9039,"Education Administrators, All Other",13.0499,"Educational Administration and Supervision, Other."
11-9039,"Education Administrators, All Other",52.0206,Non-Profit/Public/Organizational Management.
11-9041,Architectural and Engineering Managers,04.0201,Architecture.
11-9041,Architectural and Engineering Managers,04.0202,Architectural Design.
11-9041,Architectural and Engineering Managers,04.0301,"City/Urban, Community, and Regional Planning."
11-9041,Architectural and Engineering Managers,04.0401,Environmental Design/Architecture.
11-9041,Architectural and Engineering Managers,04.0402,Healthcare Environment Design/Architecture.
11-9041,Architectural and Engineering Managers,04.0501,Interior Architecture.
11-9041,Architectural and Engineering Managers,04.0601,Landscape Architecture.
11-9041,Architectural and Engineering Managers,04.0902,Architectural and Building Sciences/Technology.
11-9041,Architectural and Engineering Managers,14.0101,"Engineering, General."
11-9041,Architectural and Engineering Managers,14.0201,"Aerospace, Aeronautical, and Astronautical/Space Engineering, General."
11-9041,Architectural and Engineering Managers,14.0202,Astronautical Engineering.
11-9041,Architectural and Engineering Managers,14.0299,"Aerospace, Aeronautical, and Astronautical/Space Engineering, Other."
11-9041,Architectural and Engineering Managers,14.0301,Agricultural Engineering.
11-9041,Architectural and Engineering Managers,14.0401,Architectural Engineering.
11-9041,Architectural and Engineering Managers,14.0501,Bioengineering and Biomedical Engineering.
11-9041,Architectural and Engineering Managers,14.0601,Ceramic Sciences and Engineering.
11-9041,Architectural and Engineering Managers,14.0701,Chemical Engineering.
11-9041,Architectural and Engineering Managers,14.0702,Chemical and Biomolecular Engineering.
11-9041,Architectural and Engineering Managers,14.0799,"Chemical Engineering, Other."
11-9041,Architectural and Engineering Managers,14.0801,"Civil Engineering, General."
11-9041,Architectural and Engineering Managers,14.0802,Geotechnical and Geoenvironmental Engineering.
11-9041,Architectural and Engineering Managers,14.0803,Structural Engineering.
11-9041,Architectural and Engineering Managers,14.0804,Transportation and Highway Engineering.
11-9041,Architectural and Engineering Managers,14.0805,Water Resources Engineering.
11-9041,Architectural and Engineering Managers,14.0899,"Civil Engineering, Other."
11-9041,Architectural and Engineering Managers,14.0901,"Computer Engineering, General."
11-9041,Architectural and Engineering Managers,14.0902,Computer Hardware Engineering.
11-9041,Architectural and Engineering Managers,14.0903,Computer Software Engineering.
11-9041,Architectural and Engineering Managers,14.0999,"Computer Engineering, Other."
11-9041,Architectural and Engineering Managers,14.1001,Electrical and Electronics Engineering.
11-9041,Architectural and Engineering Managers,14.1003,Laser and Optical Engineering.
11-9041,Architectural and Engineering Managers,14.1004,Telecommunications Engineering.
11-9041,Architectural and Engineering Managers,14.1099,"Electrical, Electronics, and Communications Engineering, Other."
11-9041,Architectural and Engineering Managers,14.1101,Engineering Mechanics.
11-9041,Architectural and Engineering Managers,14.1201,Engineering Physics/Applied Physics.
11-9041,Architectural and Engineering Managers,14.1301,Engineering Science.
11-9041,Architectural and Engineering Managers,14.1401,Environmental/Environmental Health Engineering.
11-9041,Architectural and Engineering Managers,14.1801,Materials Engineering.
11-9041,Architectural and Engineering Managers,14.1901,Mechanical Engineering.
11-9041,Architectural and Engineering Managers,14.2001,Metallurgical Engineering.
11-9041,Architectural and Engineering Managers,14.2101,Mining and Mineral Engineering.
11-9041,Architectural and Engineering Managers,14.2201,Naval Architecture and Marine Engineering.
11-9041,Architectural and Engineering Managers,14.2301,Nuclear Engineering.
11-9041,Architectural and Engineering Managers,14.2401,Ocean Engineering.
11-9041,Architectural and Engineering Managers,14.2501,Petroleum Engineering.
11-9041,Architectural and Engineering Managers,14.2701,Systems Engineering.
11-9041,Architectural and Engineering Managers,14.2801,Textile Sciences and Engineering.
11-9041,Architectural and Engineering Managers,14.3201,Polymer/Plastics Engineering.
11-9041,Architectural and Engineering Managers,14.3301,Construction Engineering.
11-9041,Architectural and Engineering Managers,14.3401,Forest Engineering.
11-9041,Architectural and Engineering Managers,14.3501,Industrial Engineering.
11-9041,Architectural and Engineering Managers,14.3601,Manufacturing Engineering.
11-9041,Architectural and Engineering Managers,14.3801,Surveying Engineering.
11-9041,Architectural and Engineering Managers,14.3901,Geological/Geophysical Engineering.
11-9041,Architectural and Engineering Managers,14.4001,Paper Science and Engineering.
11-9041,Architectural and Engineering Managers,14.4101,Electromechanical Engineering.
11-9041,Architectural and Engineering Managers,14.4201,"Mechatronics, Robotics, and Automation Engineering."
11-9041,Architectural and Engineering Managers,14.4301,Biochemical Engineering.
11-9041,Architectural and Engineering Managers,14.4401,Engineering Chemistry.
11-9041,Architectural and Engineering Managers,14.4501,Biological/Biosystems Engineering.
11-9041,Architectural and Engineering Managers,14.4701,Electrical and Computer Engineering.
11-9041,Architectural and Engineering Managers,14.4801,"Energy Systems Engineering, General."
11-9041,Architectural and Engineering Managers,14.4802,Power Plant Engineering.
11-9041,Architectural and Engineering Managers,14.4899,"Energy Systems Engineering, Other."
11-9041,Architectural and Engineering Managers,14.9999,"Engineering, Other."
11-9041,Architectural and Engineering Managers,15.1501,Engineering/Industrial Management.
11-9041,Architectural and Engineering Managers,15.1502,Engineering Design.
11-9041,Architectural and Engineering Managers,15.1503,Packaging Science.
11-9041,Architectural and Engineering Managers,40.1001,Materials Science.
11-9041,Architectural and Engineering Managers,52.0216,Science/Technology Management.
11-9051,Food Service Managers,12.0504,"Restaurant, Culinary, and Catering Management/Manager."
11-9051,Food Service Managers,12.0509,Culinary Science/Culinology.
11-9051,Food Service Managers,12.0510,Wine Steward/Sommelier.
11-9051,Food Service Managers,19.0505,Foodservice Systems Administration/Management.
11-9051,Food Service Managers,52.0901,"Hospitality Administration/Management, General."
11-9051,Food Service Managers,52.0904,Hotel/Motel Administration/Management.
11-9051,Food Service Managers,52.0905,Restaurant/Food Services Management.
11-9051,Food Service Managers,52.0909,"Hotel, Motel, and Restaurant Management."
11-9051,Food Service Managers,52.0910,Brewery/Brewpub Operations/Management.
11-9051,Food Service Managers,52.0999,"Hospitality Administration/Management, Other."
11-9111,Medical and Health Services Managers,01.8201,"Veterinary Administrative Services, General."
11-9111,Medical and Health Services Managers,01.8202,Veterinary Office Management/Administration.
11-9111,Medical and Health Services Managers,26.0509,Infectious Disease and Global Health.
11-9111,Medical and Health Services Managers,44.0503,Health Policy Analysis.
11-9111,Medical and Health Services Managers,51.0701,Health/Health Care Administration/Management.
11-9111,Medical and Health Services Managers,51.0702,Hospital and Health Care Facilities Administration/Management.
11-9111,Medical and Health Services Managers,51.0704,Health Unit Manager/Ward Supervisor.
11-9111,Medical and Health Services Managers,51.0706,Health Information/Medical Records Administration/Administrator.
11-9111,Medical and Health Services Managers,51.0718,Long Term Care Administration/Management.
11-9111,Medical and Health Services Managers,51.0719,Clinical Research Coordinator.
11-9111,Medical and Health Services Managers,51.0720,Regulatory Science/Affairs.
11-9111,Medical and Health Services Managers,51.0721,Disease Registry Data Management.
11-9111,Medical and Health Services Managers,51.0722,Healthcare Innovation.
11-9111,Medical and Health Services Managers,51.2001,Pharmacy.
11-9111,Medical and Health Services Managers,51.2002,Pharmacy Administration and Pharmacy Policy and Regulatory Affairs.
11-9111,Medical and Health Services Managers,51.2007,Pharmacoeconomics/Pharmaceutical Economics.
11-9111,Medical and Health Services Managers,51.2008,"Clinical, Hospital, and Managed Care Pharmacy."
11-9111,Medical and Health Services Managers,51.2011,Pharmaceutical Marketing and Management.
11-9111,Medical and Health Services Managers,51.2201,"Public Health, General."
11-9111,Medical and Health Services Managers,51.2208,Community Health and Preventive Medicine.
11-9111,Medical and Health Services Managers,51.2210,International Public Health/International Health.
11-9111,Medical and Health Services Managers,51.2211,Health Services Administration.
11-9111,Medical and Health Services Managers,51.2213,Patient Safety and Healthcare Quality.
11-9111,Medical and Health Services Managers,51.2214,Public Health Genetics.
11-9111,Medical and Health Services Managers,51.2299,"Public Health, Other."
11-9111,Medical and Health Services Managers,51.3206,Arts in Medicine/Health.
11-9111,Medical and Health Services Managers,51.3299,"Health Professions Education, Ethics, and Humanities, Other."
11-9111,Medical and Health Services Managers,51.3802,Nursing Administration.
11-9111,Medical and Health Services Managers,51.3818,Nursing Practice.
11-9111,Medical and Health Services Managers,51.3820,Clinical Nurse Leader.
11-9111,Medical and Health Services Managers,52.0206,Non-Profit/Public/Organizational Management.
11-9111,Medical and Health Services Managers,52.0210,Research and Development Management.
11-9111,Medical and Health Services Managers,52.0214,Research Administration.
11-9111,Medical and Health Services Managers,52.0216,Science/Technology Management.
11-9121,Natural Sciences Managers,14.1201,Engineering Physics/Applied Physics.
11-9121,Natural Sciences Managers,14.3701,Operations Research.
11-9121,Natural Sciences Managers,26.0101,"Biology/Biological Sciences, General."
11-9121,Natural Sciences Managers,26.0202,Biochemistry.
11-9121,Natural Sciences Managers,26.0203,Biophysics.
11-9121,Natural Sciences Managers,26.0204,Molecular Biology.
11-9121,Natural Sciences Managers,26.0205,Molecular Biochemistry.
11-9121,Natural Sciences Managers,26.0206,Molecular Biophysics.
11-9121,Natural Sciences Managers,26.0207,Structural Biology.
11-9121,Natural Sciences Managers,26.0208,Photobiology.
11-9121,Natural Sciences Managers,26.0209,Radiation Biology/Radiobiology.
11-9121,Natural Sciences Managers,26.0210,Biochemistry and Molecular Biology.
11-9121,Natural Sciences Managers,26.0299,"Biochemistry, Biophysics and Molecular Biology, Other."
11-9121,Natural Sciences Managers,26.0301,Botany/Plant Biology.
11-9121,Natural Sciences Managers,26.0305,Plant Pathology/Phytopathology.
11-9121,Natural Sciences Managers,26.0307,Plant Physiology.
11-9121,Natural Sciences Managers,26.0399,"Botany/Plant Biology, Other."
11-9121,Natural Sciences Managers,26.0401,Cell/Cellular Biology and Histology.
11-9121,Natural Sciences Managers,26.0403,Anatomy.
11-9121,Natural Sciences Managers,26.0406,Cell/Cellular and Molecular Biology.
11-9121,Natural Sciences Managers,26.0499,"Cell/Cellular Biology and Anatomical Sciences, Other."
11-9121,Natural Sciences Managers,26.0502,"Microbiology, General."
11-9121,Natural Sciences Managers,26.0503,Medical Microbiology and Bacteriology.
11-9121,Natural Sciences Managers,26.0504,Virology.
11-9121,Natural Sciences Managers,26.0505,Parasitology.
11-9121,Natural Sciences Managers,26.0507,Immunology.
11-9121,Natural Sciences Managers,26.0508,Microbiology and Immunology.
11-9121,Natural Sciences Managers,26.0599,"Microbiological Sciences and Immunology, Other."
11-9121,Natural Sciences Managers,26.0701,Zoology/Animal Biology.
11-9121,Natural Sciences Managers,26.0702,Entomology.
11-9121,Natural Sciences Managers,26.0707,Animal Physiology.
11-9121,Natural Sciences Managers,26.0799,"Zoology/Animal Biology, Other."
11-9121,Natural Sciences Managers,26.0802,Molecular Genetics.
11-9121,Natural Sciences Managers,26.0804,Animal Genetics.
11-9121,Natural Sciences Managers,26.0805,Plant Genetics.
11-9121,Natural Sciences Managers,26.0807,Genome Sciences/Genomics.
11-9121,Natural Sciences Managers,26.0899,"Genetics, Other."
11-9121,Natural Sciences Managers,26.0910,Pathology/Experimental Pathology.
11-9121,Natural Sciences Managers,26.0912,Aerospace Physiology and Medicine.
11-9121,Natural Sciences Managers,26.1001,Pharmacology.
11-9121,Natural Sciences Managers,26.1004,Toxicology.
11-9121,Natural Sciences Managers,26.1101,Biometry/Biometrics.
11-9121,Natural Sciences Managers,26.1102,Biostatistics.
11-9121,Natural Sciences Managers,26.1104,Computational Biology.
11-9121,Natural Sciences Managers,26.1199,"Biomathematics, Bioinformatics, and Computational Biology, Other."
11-9121,Natural Sciences Managers,26.1201,Biotechnology.
11-9121,Natural Sciences Managers,26.1301,Ecology.
11-9121,Natural Sciences Managers,26.1302,Marine Biology and Biological Oceanography.
11-9121,Natural Sciences Managers,26.1303,Evolutionary Biology.
11-9121,Natural Sciences Managers,26.1310,Ecology and Evolutionary Biology.
11-9121,Natural Sciences Managers,26.1311,Epidemiology and Biostatistics.
11-9121,Natural Sciences Managers,26.1399,"Ecology, Evolution, Systematics and Population Biology, Other."
11-9121,Natural Sciences Managers,26.1401,Molecular Medicine.
11-9121,Natural Sciences Managers,26.1501,Neuroscience.
11-9121,Natural Sciences Managers,26.1502,Neuroanatomy.
11-9121,Natural Sciences Managers,26.1503,Neurobiology and Anatomy.
11-9121,Natural Sciences Managers,26.1504,Neurobiology and Behavior.
11-9121,Natural Sciences Managers,26.1599,"Neurobiology and Neurosciences, Other."
11-9121,Natural Sciences Managers,26.9999,"Biological and Biomedical Sciences, Other."
11-9121,Natural Sciences Managers,27.0101,"Mathematics, General."
11-9121,Natural Sciences Managers,27.0102,Algebra and Number Theory.
11-9121,Natural Sciences Managers,27.0103,Analysis and Functional Analysis.
11-9121,Natural Sciences Managers,27.0104,Geometry/Geometric Analysis.
11-9121,Natural Sciences Managers,27.0105,Topology and Foundations.
11-9121,Natural Sciences Managers,27.0199,"Mathematics, Other."
11-9121,Natural Sciences Managers,27.0301,"Applied Mathematics, General."
11-9121,Natural Sciences Managers,27.0303,Computational Mathematics.
11-9121,Natural Sciences Managers,27.0304,Computational and Applied Mathematics.
11-9121,Natural Sciences Managers,27.0305,Financial Mathematics.
11-9121,Natural Sciences Managers,27.0306,Mathematical Biology.
11-9121,Natural Sciences Managers,27.0399,"Applied Mathematics, Other."
11-9121,Natural Sciences Managers,27.0501,"Statistics, General."
11-9121,Natural Sciences Managers,27.0503,Mathematics and Statistics.
11-9121,Natural Sciences Managers,27.0599,"Statistics, Other."
11-9121,Natural Sciences Managers,27.0601,"Applied Statistics, General."
11-9121,Natural Sciences Managers,27.9999,"Mathematics and Statistics, Other."
11-9121,Natural Sciences Managers,30.0101,Biological and Physical Sciences.
11-9121,Natural Sciences Managers,30.0801,Mathematics and Computer Science.
11-9121,Natural Sciences Managers,30.1001,Biopsychology.
11-9121,Natural Sciences Managers,30.1501,"Science, Technology and Society."
11-9121,Natural Sciences Managers,30.1801,Natural Sciences.
11-9121,Natural Sciences Managers,30.1901,Nutrition Sciences.
11-9121,Natural Sciences Managers,30.2501,"Cognitive Science, General."
11-9121,Natural Sciences Managers,30.2599,"Cognitive Science, Other."
11-9121,Natural Sciences Managers,30.2701,Human Biology.
11-9121,Natural Sciences Managers,30.3001,Computational Science.
11-9121,Natural Sciences Managers,30.3201,Marine Sciences.
11-9121,Natural Sciences Managers,30.3301,Sustainability Studies.
11-9121,Natural Sciences Managers,30.3401,Anthrozoology.
11-9121,Natural Sciences Managers,30.3501,Climate Science.
11-9121,Natural Sciences Managers,30.3801,Earth Systems Science.
11-9121,Natural Sciences Managers,30.4101,Environmental Geosciences.
11-9121,Natural Sciences Managers,30.4301,Geobiology.
11-9121,Natural Sciences Managers,30.4401,Geography and Environmental Studies.
11-9121,Natural Sciences Managers,30.4901,Mathematical Economics.
11-9121,Natural Sciences Managers,30.5001,Mathematics and Atmospheric/Oceanic Science.
11-9121,Natural Sciences Managers,30.7001,"Data Science, General."
11-9121,Natural Sciences Managers,30.7099,"Data Science, Other."
11-9121,Natural Sciences Managers,38.0102,Logic.
11-9121,Natural Sciences Managers,40.0101,"Physical Sciences, General."
11-9121,Natural Sciences Managers,40.0201,Astronomy.
11-9121,Natural Sciences Managers,40.0202,Astrophysics.
11-9121,Natural Sciences Managers,40.0203,Planetary Astronomy and Science.
11-9121,Natural Sciences Managers,40.0299,"Astronomy and Astrophysics, Other."
11-9121,Natural Sciences Managers,40.0401,"Atmospheric Sciences and Meteorology, General."
